{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 34'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 35'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 36'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 37'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 38'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 39'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 30'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 31'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 32'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 33'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 34'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 35'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 36'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 37'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 38'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 39'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 30'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 31'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 32'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 33'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 34'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 35'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 36'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 37'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 38'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 39'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 30'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 31'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 32'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 33'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 34'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 35'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 36'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 37'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 38'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 39'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 30'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 31'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
{'payloadType': 'JCR_PATH', 'workflowTitle': 'LOBLAW MANUAL PROCESS PRODUCT', 'startComment': 'ppw', 'model': '/var/workflow/models/loblaw-manual-process-product', 'payload': '/content/dam/loblaw-companies-limited/product-staging/manual/sdmload/2021/WK 32'},HTTPSConnectionPool(host='author-loblaw-stage.adobecqms.net', port=443): Max retries exceeded with url: /etc/workflow/instances (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1006)')))
